FIPS,County,Deaths,Population,MortalityRate,CountyName,State
1001,"Autauga County, AL",187.0,59759.0,312.9,Autauga County,AL
1003,"Baldwin County, AL",758.0,246435.0,307.6,Baldwin County,AL
1005,"Barbour County, AL",115.0,24706.0,465.5,Barbour County,AL
1007,"Bibb County, AL",105.0,22005.0,477.2,Bibb County,AL
1009,"Blount County, AL",261.0,59512.0,438.6,Blount County,AL
1011,"Bullock County, AL",32.0,10202.0,313.7,Bullock County,AL
1013,"Butler County, AL",91.0,18650.0,487.9,Butler County,AL
1015,"Calhoun County, AL",583.0,115788.0,503.5,Calhoun County,AL
1017,"Chambers County, AL",178.0,34088.0,522.2,Chambers County,AL
1019,"Cherokee County, AL",92.0,25302.0,363.6,Cherokee County,AL
1021,"Chilton County, AL",203.0,45884.0,442.4,Chilton County,AL
1023,"Choctaw County, AL",77.0,12439.0,619.0,Choctaw County,AL
1025,"Clarke County, AL",134.0,22515.0,595.2,Clarke County,AL
1027,"Clay County, AL",63.0,14198.0,443.7,Clay County,AL
1029,"Cleburne County, AL",88.0,15346.0,573.4,Cleburne County,AL
1031,"Coffee County, AL",209.0,54805.0,381.4,Coffee County,AL
1033,"Colbert County, AL",258.0,58033.0,444.6,Colbert County,AL
1035,"Conecuh County, AL",80.0,11206.0,713.9,Conecuh County,AL
1037,"Coosa County, AL",44.0,10166.0,432.8,Coosa County,AL
1039,"Covington County, AL",208.0,37602.0,553.2,Covington County,AL
1041,"Crenshaw County, AL",67.0,13025.0,514.4,Crenshaw County,AL
1043,"Cullman County, AL",404.0,90665.0,445.6,Cullman County,AL
1045,"Dale County, AL",215.0,49544.0,434.0,Dale County,AL
1047,"Dallas County, AL",205.0,36767.0,557.6,Dallas County,AL
1049,"DeKalb County, AL",306.0,71998.0,425.0,DeKalb County,AL
1051,"Elmore County, AL",289.0,89563.0,322.7,Elmore County,AL
1053,"Escambia County, AL",179.0,36666.0,488.2,Escambia County,AL
1055,"Etowah County, AL",519.0,103088.0,503.5,Etowah County,AL
1057,"Fayette County, AL",80.0,16118.0,496.3,Fayette County,AL
1059,"Franklin County, AL",126.0,31932.0,394.6,Franklin County,AL
1061,"Geneva County, AL",117.0,26783.0,436.8,Geneva County,AL
1063,"Greene County, AL",54.0,7422.0,727.6,Greene County,AL
1065,"Hale County, AL",64.0,14595.0,438.5,Hale County,AL
1067,"Henry County, AL",80.0,17655.0,453.1,Henry County,AL
1069,"Houston County, AL",486.0,108079.0,449.7,Houston County,AL
1071,"Jackson County, AL",290.0,52891.0,548.3,Jackson County,AL
1073,"Jefferson County, AL",2368.0,665409.0,355.9,Jefferson County,AL
1075,"Lamar County, AL",64.0,13705.0,467.0,Lamar County,AL
1077,"Lauderdale County, AL",394.0,95878.0,410.9,Lauderdale County,AL
1079,"Lawrence County, AL",145.0,33214.0,436.6,Lawrence County,AL
1081,"Lee County, AL",388.0,180773.0,214.6,Lee County,AL
1083,"Limestone County, AL",383.0,110900.0,345.4,Limestone County,AL
1085,"Lowndes County, AL",73.0,9777.0,746.7,Lowndes County,AL
1087,"Macon County, AL",98.0,18516.0,529.3,Macon County,AL
1089,"Madison County, AL",1359.0,403565.0,336.7,Madison County,AL
1091,"Marengo County, AL",55.0,18745.0,293.4,Marengo County,AL
1093,"Marion County, AL",146.0,29156.0,500.8,Marion County,AL
1095,"Marshall County, AL",420.0,99423.0,422.4,Marshall County,AL
1097,"Mobile County, AL",1693.0,411411.0,411.5,Mobile County,AL
1099,"Monroe County, AL",99.0,19404.0,510.2,Monroe County,AL
1101,"Montgomery County, AL",719.0,226361.0,317.6,Montgomery County,AL
1103,"Morgan County, AL",516.0,124211.0,415.4,Morgan County,AL
1105,"Perry County, AL",50.0,8035.0,622.3,Perry County,AL
1107,"Pickens County, AL",70.0,18697.0,374.4,Pickens County,AL
1109,"Pike County, AL",104.0,33014.0,315.0,Pike County,AL
1111,"Randolph County, AL",133.0,22479.0,591.7,Randolph County,AL
1113,"Russell County, AL",197.0,58555.0,336.4,Russell County,AL
1115,"St. Clair County, AL",355.0,93932.0,377.9,St. Clair County,AL
1117,"Shelby County, AL",566.0,230115.0,246.0,Shelby County,AL
1119,"Sumter County, AL",35.0,11853.0,295.3,Sumter County,AL
1121,"Talladega County, AL",382.0,80704.0,473.3,Talladega County,AL
1123,"Tallapoosa County, AL",186.0,40977.0,453.9,Tallapoosa County,AL
1125,"Tuscaloosa County, AL",677.0,236780.0,285.9,Tuscaloosa County,AL
1127,"Walker County, AL",439.0,64339.0,682.3,Walker County,AL
1129,"Washington County, AL",80.0,15122.0,529.0,Washington County,AL
1131,"Wilcox County, AL",60.0,10059.0,596.5,Wilcox County,AL
1133,"Winston County, AL",147.0,23755.0,618.8,Winston County,AL
2020,"Anchorage Borough, AK",486.0,287145.0,169.3,Anchorage Borough,AK
