FIPS,Income,Education,Black,Hispanic,Rurality
1001,68857.0,0.9027890205,0.2099035498,0.0385303769,0.406768132
1003,74248.0,0.9173139987,0.0822146923,0.0578208886,0.3758645536
1005,45298.0,0.7781370547,0.4648362823,0.0621110433,0.6591999366
1007,56025.0,0.8034021719,0.2036766051,0.036125846,1.0
1009,64962.0,0.8269620161,0.018255985,0.1051558112,0.9048939696
1011,36204.0,0.7404445649,0.6992017783,0.0617358796,1.0
1013,44729.0,0.8759495594,0.4467413774,0.0175171363,0.6943467535
1015,51841.0,0.8608620448,0.2202887597,0.0475826469,0.3649401843
1017,50390.0,0.836219572,0.3912380058,0.0413157663,0.5074485218
1019,56400.0,0.838685626,0.0422348632,0.0191693291,1.0
1021,59165.0,0.8418707516,0.0978656501,0.1009024143,0.8554449727
1023,47432.0,0.8421871527,0.4046686255,0.0125693764,1.0
1025,50868.0,0.8526869598,0.4522988763,0.012803868,1.0
1027,52077.0,0.8275660396,0.1347175962,0.0342994827,1.0
1029,59526.0,0.8539729307,0.0294775881,0.0207813799,1.0
1031,64737.0,0.8602319532,0.1636324425,0.0994374854,0.4753015992
1033,57770.0,0.8754941676,0.1549493669,0.0365141105,0.4029566463
1035,46702.0,0.8748615725,0.4436191158,0.0308752461,1.0
1037,59736.0,0.8277252678,0.2820412933,0.0255161667,1.0
1039,50119.0,0.861823954,0.1231292159,0.0207894182,0.6881554432
1041,49128.0,0.8257908612,0.2302877643,0.0232806656,1.0
1043,61231.0,0.8499519231,0.0123674144,0.0511650148,0.7559920788
1045,54697.0,0.8572357531,0.2118265124,0.0722864992,0.5045209423
1047,39013.0,0.8705845454,0.7059311489,0.0113092769,0.4486246165
1049,50614.0,0.7894519643,0.0149237278,0.1729939781,0.8829739694
1051,73125.0,0.8958912074,0.2174124567,0.0347740516,0.7123680053
1053,50333.0,0.8253264834,0.3077028284,0.0237978008,0.6528280328
1055,52504.0,0.8577786964,0.1498145117,0.0537577125,0.4316968947
