FIPS,County,Deaths,Population,MortalityRate,CountyName,State,Income,Education,Black,Hispanic,Rurality
1001,"Autauga County, AL",187.0,59759.0,312.9,Autauga County,AL,68857.0,0.9027890205,0.2099035498,0.0385303769,0.406768132
1003,"Baldwin County, AL",758.0,246435.0,307.6,Baldwin County,AL,74248.0,0.9173139987,0.0822146923,0.0578208886,0.3758645536
1005,"Barbour County, AL",115.0,24706.0,465.5,Barbour County,AL,45298.0,0.7781370547,0.4648362823,0.0621110433,0.6591999366
1007,"Bibb County, AL",105.0,22005.0,477.2,Bibb County,AL,56025.0,0.8034021719,0.2036766051,0.036125846,1.0
1009,"Blount County, AL",261.0,59512.0,438.6,Blount County,AL,64962.0,0.8269620161,0.018255985,0.1051558112,0.9048939696
1011,"Bullock County, AL",32.0,10202.0,313.7,Bullock County,AL,36204.0,0.7404445649,0.6992017783,0.0617358796,1.0
1013,"Butler County, AL",91.0,18650.0,487.9,Butler County,AL,44729.0,0.8759495594,0.4467413774,0.0175171363,0.6943467535
1015,"Calhoun County, AL",583.0,115788.0,503.5,Calhoun County,AL,51841.0,0.8608620448,0.2202887597,0.0475826469,0.3649401843
1017,"Chambers County, AL",178.0,34088.0,522.2,Chambers County,AL,50390.0,0.836219572,0.3912380058,0.0413157663,0.5074485218
1019,"Cherokee County, AL",92.0,25302.0,363.6,Cherokee County,AL,56400.0,0.838685626,0.0422348632,0.0191693291,1.0
1021,"Chilton County, AL",203.0,45884.0,442.4,Chilton County,AL,59165.0,0.8418707516,0.0978656501,0.1009024143,0.8554449727
1023,"Choctaw County, AL",77.0,12439.0,619.0,Choctaw County,AL,47432.0,0.8421871527,0.4046686255,0.0125693764,1.0
1025,"Clarke County, AL",134.0,22515.0,595.2,Clarke County,AL,50868.0,0.8526869598,0.4522988763,0.012803868,1.0
1027,"Clay County, AL",63.0,14198.0,443.7,Clay County,AL,52077.0,0.8275660396,0.1347175962,0.0342994827,1.0
1029,"Cleburne County, AL",88.0,15346.0,573.4,Cleburne County,AL,59526.0,0.8539729307,0.0294775881,0.0207813799,1.0
1031,"Coffee County, AL",209.0,54805.0,381.4,Coffee County,AL,64737.0,0.8602319532,0.1636324425,0.0994374854,0.4753015992
1033,"Colbert County, AL",258.0,58033.0,444.6,Colbert County,AL,57770.0,0.8754941676,0.1549493669,0.0365141105,0.4029566463
1035,"Conecuh County, AL",80.0,11206.0,713.9,Conecuh County,AL,46702.0,0.8748615725,0.4436191158,0.0308752461,1.0
1037,"Coosa County, AL",44.0,10166.0,432.8,Coosa County,AL,59736.0,0.8277252678,0.2820412933,0.0255161667,1.0
1039,"Covington County, AL",208.0,37602.0,553.2,Covington County,AL,50119.0,0.861823954,0.1231292159,0.0207894182,0.6881554432
1041,"Crenshaw County, AL",67.0,13025.0,514.4,Crenshaw County,AL,49128.0,0.8257908612,0.2302877643,0.0232806656,1.0
1043,"Cullman County, AL",404.0,90665.0,445.6,Cullman County,AL,61231.0,0.8499519231,0.0123674144,0.0511650148,0.7559920788
1045,"Dale County, AL",215.0,49544.0,434.0,Dale County,AL,54697.0,0.8572357531,0.2118265124,0.0722864992,0.5045209423
1047,"Dallas County, AL",205.0,36767.0,557.6,Dallas County,AL,39013.0,0.8705845454,0.7059311489,0.0113092769,0.4486246165
1049,"DeKalb County, AL",306.0,71998.0,425.0,DeKalb County,AL,50614.0,0.7894519643,0.0149237278,0.1729939781,0.8829739694
1051,"Elmore County, AL",289.0,89563.0,322.7,Elmore County,AL,73125.0,0.8958912074,0.2174124567,0.0347740516,0.7123680053
1053,"Escambia County, AL",179.0,36666.0,488.2,Escambia County,AL,50333.0,0.8253264834,0.3077028284,0.0237978008,0.6528280328
1055,"Etowah County, AL",519.0,103088.0,503.5,Etowah County,AL,52504.0,0.8577786964,0.1498145117,0.0537577125,0.4316968947
1057,"Fayette County, AL",80.0,16118.0,496.3,Fayette County,AL,49235.0,0.8523172906,0.111730444,0.0223586146,1.0
1059,"Franklin County, AL",126.0,31932.0,394.6,Franklin County,AL,49682.0,0.7948572509,0.0366329162,0.2060876674,0.6904991748
1061,"Geneva County, AL",117.0,26783.0,436.8,Geneva County,AL,50006.0,0.8320944699,0.0874092189,0.0553208834,0.9944108931
1063,"Greene County, AL",54.0,7422.0,727.6,Greene County,AL,34619.0,0.820060675,0.7945783953,0.0079008309,1.0
